PurchaseDate,CustomerID,Gender,MaritalStatus,Children,AnnualIncome,City,Country,ProductFamily,ProductDepartment,ProductCategory,UnitsSold,Revenue,,,
03/01/2008,9812,F,M,2,$50K - $70K,Salem,USA,Food,Dairy,Dairy,5,$24.38,,,
04/01/2008,4279,F,M,1,$50K - $70K,Beverly Hills,USA,Food,Baking Goods,Baking Goods,4,$9.23,,,
04/01/2008,1940,F,M,1,$90K - $110K,Salem,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$10.85,,,
04/01/2008,3799,F,S,2,$30K - $50K,Salem,USA,Food,Baking Goods,Baking Goods,5,$14.87,,,
04/01/2008,566,M,S,5,$10K - $30K,Walla Walla,USA,Food,Produce,Vegetables,2,$3.53,,,
04/01/2008,5125,F,S,2,$30K - $50K,Tacoma,USA,Food,Deli,Meat,6,$10.21,,,
04/01/2008,10026,F,S,3,$10K - $30K,Salem,USA,Food,Frozen Foods,Vegetables,5,$10.07,,,
05/01/2008,2533,M,M,1,$50K - $70K,Beverly Hills,USA,Food,Frozen Foods,Meat,5,$14.52,,,
05/01/2008,7733,M,S,5,$10K - $30K,Salem,USA,Non-Consumable,Household,Hardware,4,$40.83,,,
05/01/2008,3533,F,M,1,$30K - $50K,Bremerton,USA,Non-Consumable,Household,Plastic Products,4,$2.94,,,
05/01/2008,3490,F,M,1,$10K - $30K,Salem,USA,Food,Dairy,Dairy,3,$23.13,,,
05/01/2008,9125,M,S,3,$50K - $70K,Salem,USA,Food,Produce,Specialty,3,$17.95,,,
05/01/2008,10070,F,M,2,$50K - $70K,Salem,USA,Food,Dairy,Dairy,3,$6.88,,,
05/01/2008,3533,F,M,1,$30K - $50K,Bremerton,USA,Food,Canned Foods,Vegetables,5,$6.20,,,
06/01/2008,1596,M,M,2,$70K - $90K,San Diego,USA,Food,Baking Goods,Baking Goods,3,$2.78,,,
07/01/2008,8248,M,S,3,$10K - $30K,Beverly Hills,USA,Food,Canned Foods,Canned Sardines,6,$14.96,,,
07/01/2008,3197,F,S,5,$50K - $70K,Yakima,USA,Food,Produce,Fruit,5,$34.56,,,
07/01/2008,2061,M,M,3,$10K - $30K,Bremerton,USA,Food,Baked Goods,Bread,5,$11.05,,,
07/01/2008,5590,M,M,5,$110K - $130K,Tacoma,USA,Non-Consumable,Checkout,Miscellaneous,4,$6.28,,,
07/01/2008,760,F,S,0,$150K +,Bremerton,USA,Food,Baking Goods,Baking Goods,5,$4.79,,,
08/01/2008,753,F,S,1,$90K - $110K,Bremerton,USA,Non-Consumable,Health and Hygiene,Hygiene,3,$7.28,,,
08/01/2008,2327,F,M,4,$10K - $30K,Salem,USA,Food,Snack Foods,Snack Foods,4,$11.04,,,
08/01/2008,7576,F,M,1,$50K - $70K,Salem,USA,Food,Baked Goods,Bread,5,$5.67,,,
08/01/2008,864,F,S,3,$90K - $110K,San Diego,USA,Food,Meat,Meat,5,$16.39,,,
08/01/2008,8593,M,M,2,$110K - $130K,Beverly Hills,USA,Non-Consumable,Health and Hygiene,Hygiene,5,$4.29,,,
08/01/2008,711,F,M,2,$30K - $50K,Tacoma,USA,Food,Canned Foods,Canned Sardines,4,$23.58,,,
08/01/2008,6460,M,M,2,$10K - $30K,San Diego,USA,Food,Canned Foods,Canned Soup,4,$21.47,,,
09/01/2008,1216,M,S,1,$70K - $90K,Tacoma,USA,Food,Produce,Fruit,3,$5.35,,,
09/01/2008,2997,M,M,4,$10K - $30K,Seattle,USA,Non-Consumable,Household,Cleaning Supplies,6,$17.57,,,
09/01/2008,4925,F,S,0,$50K - $70K,Spokane,USA,Food,Frozen Foods,Pizza,6,$35.26,,,
09/01/2008,2198,F,S,3,$50K - $70K,Salem,USA,Non-Consumable,Household,Cleaning Supplies,3,$17.28,,,
09/01/2008,6021,F,S,4,$50K - $70K,Salem,USA,Non-Consumable,Health and Hygiene,Decongestants,5,$8.35,,,
09/01/2008,2390,F,M,3,$30K - $50K,Tacoma,USA,Food,Deli,Meat,3,$11.04,,,
10/01/2008,240,M,M,2,$30K - $50K,Los Angeles,USA,Food,Produce,Vegetables,4,$17.52,,,
10/01/2008,7354,F,M,3,$10K - $30K,Bremerton,USA,Food,Snack Foods,Snack Foods,6,$16.05,,,
10/01/2008,4396,F,M,3,$130K - $150K,Salem,USA,Non-Consumable,Household,Hardware,5,$25.27,,,
10/01/2008,7823,F,M,5,$10K - $30K,Los Angeles,USA,Food,Dairy,Dairy,4,$36.50,,,
10/01/2008,76,F,S,1,$70K - $90K,Bremerton,USA,Non-Consumable,Household,Electrical,5,$17.70,,,
10/01/2008,3849,M,M,4,$30K - $50K,Seattle,USA,Food,Snacks,Candy,6,$24.90,,,
11/01/2008,7493,F,M,3,$110K - $130K,San Diego,USA,Food,Starchy Foods,Starchy Foods,4,$36.48,,,
11/01/2008,1193,F,S,0,$90K - $110K,Salem,USA,Food,Canned Foods,Canned Tuna,5,$6.53,,,
11/01/2008,1429,F,S,4,$30K - $50K,Salem,USA,Food,Snack Foods,Snack Foods,6,$14.06,,,
12/01/2008,4544,F,M,4,$70K - $90K,Los Angeles,USA,Food,Dairy,Dairy,5,$12.78,,,
12/01/2008,1275,M,S,4,$10K - $30K,San Diego,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$1.56,,,
12/01/2008,1681,F,M,5,$70K - $90K,Salem,USA,Food,Snack Foods,Snack Foods,5,$29.63,,,
12/01/2008,4315,M,S,2,$30K - $50K,Tacoma,USA,Food,Snack Foods,Snack Foods,4,$11.32,,,
12/01/2008,9175,F,S,2,$90K - $110K,San Diego,USA,Food,Snack Foods,Snack Foods,5,$1.80,,,
12/01/2008,8054,F,M,0,$10K - $30K,Seattle,USA,Food,Deli,Side Dishes,3,$5.04,,,
12/01/2008,7702,M,S,2,$30K - $50K,Spokane,USA,Food,Breakfast Foods,Breakfast Foods,4,$3.61,,,
12/01/2008,769,F,S,4,$30K - $50K,Spokane,USA,Food,Dairy,Dairy,4,$12.58,,,
13/01/2008,20,F,S,2,$10K - $30K,San Diego,USA,Non-Consumable,Household,Cleaning Supplies,3,$19.49,,,
13/01/2008,6348,M,M,2,$10K - $30K,Spokane,USA,Food,Frozen Foods,Pizza,6,$4.61,,,
13/01/2008,7622,F,S,1,$50K - $70K,Bremerton,USA,Non-Consumable,Checkout,Miscellaneous,6,$11.04,,,
13/01/2008,4021,M,M,3,$30K - $50K,Spokane,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,$4.68,,,
13/01/2008,2086,M,M,1,$10K - $30K,Salem,USA,Non-Consumable,Household,Paper Products,3,$25.52,,,
13/01/2008,8862,M,S,1,$30K - $50K,Portland,USA,Food,Snack Foods,Snack Foods,4,$6.80,,,
13/01/2008,1429,F,S,4,$30K - $50K,Salem,USA,Food,Snack Foods,Snack Foods,2,$12.70,,,
13/01/2008,8289,M,S,4,$10K - $30K,Tacoma,USA,Food,Baking Goods,Jams and Jellies,3,$8.09,,,
14/01/2008,4544,F,M,4,$70K - $90K,Los Angeles,USA,Food,Deli,Meat,3,$7.06,,,
14/01/2008,4564,M,S,4,$10K - $30K,Tacoma,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$2.86,,,
14/01/2008,6713,M,M,2,$30K - $50K,Salem,USA,Food,Snack Foods,Snack Foods,4,$19.66,,,
14/01/2008,7569,F,M,0,$30K - $50K,Salem,USA,Food,Produce,Vegetables,4,$5.04,,,
14/01/2008,3593,F,M,2,$150K +,Bremerton,USA,Food,Deli,Meat,3,$9.94,,,
14/01/2008,1254,F,M,0,$90K - $110K,Seattle,USA,Food,Breakfast Foods,Breakfast Foods,4,$24.11,,,
14/01/2008,8818,M,S,2,$30K - $50K,Seattle,USA,Drink,Alcoholic Beverages,Beer and Wine,5,$29.64,,,
14/01/2008,5499,M,M,4,$70K - $90K,Portland,USA,Food,Baking Goods,Baking Goods,2,$14.76,,,
14/01/2008,5649,M,M,3,$10K - $30K,Bellingham,USA,Food,Baking Goods,Jams and Jellies,4,$9.68,,,
15/01/2008,2924,M,S,5,$30K - $50K,Bremerton,USA,Food,Canned Foods,Canned Tuna,5,$23.27,,,
15/01/2008,3861,F,M,4,$30K - $50K,San Francisco,USA,Food,Deli,Meat,2,$7.15,,,
15/01/2008,4396,F,M,3,$130K - $150K,Salem,USA,Food,Baking Goods,Baking Goods,3,$10.92,,,
15/01/2008,3313,M,M,0,$30K - $50K,Seattle,USA,Food,Frozen Foods,Breakfast Foods,3,$10.96,,,
15/01/2008,10213,M,S,2,$30K - $50K,Beverly Hills,USA,Food,Dairy,Dairy,4,$10.13,,,
15/01/2008,2331,F,S,4,$90K - $110K,San Diego,USA,Food,Frozen Foods,Vegetables,3,$11.99,,,
15/01/2008,9044,M,M,3,$30K - $50K,Los Angeles,USA,Food,Starchy Foods,Starchy Foods,5,$27.65,,,
15/01/2008,9459,F,S,4,$50K - $70K,Portland,USA,Food,Produce,Vegetables,3,$25.20,,,
15/01/2008,3938,M,S,4,$30K - $50K,Salem,USA,Non-Consumable,Household,Kitchen Products,5,$14.54,,,
15/01/2008,10240,F,S,3,$130K - $150K,Bremerton,USA,Food,Snack Foods,Snack Foods,4,$11.27,,,
16/01/2008,780,M,S,5,$110K - $130K,Salem,USA,Food,Frozen Foods,Pizza,3,$21.87,,,
16/01/2008,6760,F,M,2,$50K - $70K,Tacoma,USA,Food,Dairy,Dairy,4,$14.26,,,
16/01/2008,28,F,S,1,$10K - $30K,Seattle,USA,Food,Frozen Foods,Breakfast Foods,4,$11.04,,,
16/01/2008,1147,F,S,3,$30K - $50K,Salem,USA,Food,Produce,Vegetables,4,$10.43,,,
16/01/2008,6021,F,S,4,$50K - $70K,Salem,USA,Food,Baking Goods,Baking Goods,5,$7.01,,,
16/01/2008,484,F,M,3,$90K - $110K,Salem,USA,Food,Canned Foods,Canned Tuna,5,$9.59,,,
16/01/2008,7075,F,M,3,$90K - $110K,Seattle,USA,Food,Dairy,Dairy,3,$21.53,,,
16/01/2008,5973,M,M,2,$90K - $110K,Bremerton,USA,Food,Snacks,Candy,5,$31.13,,,
17/01/2008,1900,F,S,3,$130K - $150K,Beverly Hills,USA,Food,Produce,Fruit,2,$6.32,,,
17/01/2008,8154,F,S,5,$130K - $150K,Los Angeles,USA,Non-Consumable,Household,Paper Products,5,$20.40,,,
17/01/2008,7263,M,S,3,$10K - $30K,Portland,USA,Food,Baked Goods,Bread,4,$20.27,,,
17/01/2008,7694,F,S,2,$130K - $150K,Salem,USA,Food,Snack Foods,Snack Foods,4,$19.40,,,
17/01/2008,8091,F,S,4,$90K - $110K,Salem,USA,Drink,Alcoholic Beverages,Beer and Wine,4,$8.06,,,
17/01/2008,8259,F,M,0,$10K - $30K,Seattle,USA,Non-Consumable,Health and Hygiene,Bathroom Products,2,$6.24,,,
17/01/2008,3334,F,M,2,$70K - $90K,Tacoma,USA,Food,Produce,Vegetables,5,$12.18,,,
17/01/2008,8731,F,M,1,$50K - $70K,Bremerton,USA,Food,Starchy Foods,Starchy Foods,5,$18.84,,,
17/01/2008,2019,M,S,4,$10K - $30K,Spokane,USA,Non-Consumable,Household,Electrical,5,$30.19,,,
17/01/2008,2775,F,M,4,$70K - $90K,San Diego,USA,Food,Snack Foods,Snack Foods,6,$4.31,,,
18/01/2008,7743,F,S,0,$30K - $50K,Bremerton,USA,Food,Frozen Foods,Frozen Desserts,5,$31.70,,,
18/01/2008,4021,M,M,3,$30K - $50K,Spokane,USA,Food,Snack Foods,Snack Foods,4,$8.80,,,
18/01/2008,6518,M,M,3,$30K - $50K,Beverly Hills,USA,Food,Dairy,Dairy,5,$4.97,,,
18/01/2008,1748,F,S,1,$10K - $30K,Los Angeles,USA,Food,Produce,Vegetables,4,$26.50,,,
18/01/2008,2673,M,M,5,$50K - $70K,Portland,USA,Food,Snack Foods,Snack Foods,3,$23.06,,,
18/01/2008,7359,F,M,4,$10K - $30K,Salem,USA,Food,Frozen Foods,Pizza,5,$15.18,,,
18/01/2008,8452,M,M,4,$130K - $150K,Spokane,USA,Food,Produce,Fruit,5,$21.22,,,
18/01/2008,6957,F,S,2,$30K - $50K,Spokane,USA,Food,Snack Foods,Snack Foods,4,$11.34,,,
18/01/2008,7075,F,M,3,$90K - $110K,Seattle,USA,Food,Snack Foods,Snack Foods,4,$11.49,,,
18/01/2008,6647,M,S,3,$30K - $50K,Tacoma,USA,Food,Produce,Fruit,5,$19.12,,,
18/01/2008,4564,M,S,4,$10K - $30K,Tacoma,USA,Food,Frozen Foods,Frozen Desserts,2,$16.62,,,
18/01/2008,5898,M,S,2,$10K - $30K,Bremerton,USA,Food,Dairy,Dairy,3,$12.15,,,
18/01/2008,8269,F,S,4,$30K - $50K,Salem,USA,Food,Frozen Foods,Frozen Desserts,5,$23.27,,,
19/01/2008,1906,M,M,1,$50K - $70K,Beverly Hills,USA,Food,Baked Goods,Bread,5,$11.50,,,
19/01/2008,6439,F,S,3,$30K - $50K,Los Angeles,USA,Food,Dairy,Dairy,6,$29.30,,,
19/01/2008,5230,M,M,3,$30K - $50K,Salem,USA,Non-Consumable,Household,Cleaning Supplies,6,$14.02,,,
19/01/2008,1249,F,S,2,$30K - $50K,Seattle,USA,Food,Starchy Foods,Starchy Foods,4,$28.37,,,
19/01/2008,4552,M,M,2,$10K - $30K,Tacoma,USA,Food,Frozen Foods,Pizza,4,$22.38,,,
19/01/2008,4727,F,M,4,$150K +,Spokane,USA,Food,Snack Foods,Snack Foods,5,$25.65,,,
19/01/2008,7781,M,S,2,$50K - $70K,Seattle,USA,Non-Consumable,Health and Hygiene,Decongestants,5,$18.69,,,
19/01/2008,3567,M,M,1,$70K - $90K,Spokane,USA,Food,Baking Goods,Jams and Jellies,4,$16.61,,,
19/01/2008,8818,M,S,2,$30K - $50K,Seattle,USA,Food,Baking Goods,Jams and Jellies,5,$20.22,,,
19/01/2008,5238,M,S,3,$10K - $30K,Tacoma,USA,Food,Snack Foods,Snack Foods,2,$11.22,,,
19/01/2008,2035,F,M,5,$50K - $70K,Seattle,USA,Food,Baking Goods,Jams and Jellies,5,$29.00,,,
19/01/2008,3132,F,S,4,$70K - $90K,Seattle,USA,Food,Produce,Vegetables,6,$15.73,,,
19/01/2008,8147,M,M,3,$130K - $150K,Bellingham,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$2.92,,,
19/01/2008,5388,M,M,4,$70K - $90K,Portland,USA,Food,Snacks,Candy,2,$15.33,,,
20/01/2008,8830,F,S,0,$30K - $50K,San Francisco,USA,Food,Produce,Specialty,1,$2.63,,,
20/01/2008,3776,F,S,4,$30K - $50K,Salem,USA,Food,Frozen Foods,Meat,3,$6.70,,,
20/01/2008,8220,F,S,2,$30K - $50K,San Diego,USA,Food,Produce,Vegetables,3,$22.53,,,
20/01/2008,1193,F,S,0,$90K - $110K,Salem,USA,Food,Frozen Foods,Pizza,6,$7.64,,,
20/01/2008,9810,M,S,3,$10K - $30K,San Diego,USA,Food,Frozen Foods,Frozen Desserts,6,$6.46,,,
20/01/2008,5026,M,S,5,$30K - $50K,Tacoma,USA,Food,Baked Goods,Bread,3,$3.02,,,
20/01/2008,2398,F,S,4,$50K - $70K,Salem,USA,Drink,Alcoholic Beverages,Beer and Wine,3,$4.05,,,
20/01/2008,7845,F,M,5,$70K - $90K,Salem,USA,Food,Deli,Side Dishes,2,$6.62,,,
20/01/2008,4445,F,S,2,$50K - $70K,Tacoma,USA,Food,Snack Foods,Snack Foods,5,$23.32,,,
20/01/2008,2921,F,S,4,$30K - $50K,Spokane,USA,Food,Snack Foods,Snack Foods,3,$9.59,,,
21/01/2008,6079,F,M,3,$70K - $90K,Salem,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$4.99,,,
21/01/2008,3242,F,S,3,$10K - $30K,Bremerton,USA,Drink,Beverages,Carbonated Beverages,5,$3.63,,,
21/01/2008,4066,F,M,3,$130K - $150K,Bremerton,USA,Food,Snack Foods,Snack Foods,3,$6.93,,,
22/01/2008,8291,F,M,2,$30K - $50K,Salem,USA,Food,Frozen Foods,Meat,3,$16.30,,,
22/01/2008,5991,M,M,1,$50K - $70K,Bremerton,USA,Non-Consumable,Household,Cleaning Supplies,4,$17.46,,,
22/01/2008,7446,M,M,1,$30K - $50K,Salem,USA,Food,Frozen Foods,Meat,3,$9.05,,,
22/01/2008,2251,M,M,0,$30K - $50K,Salem,USA,Food,Meat,Meat,4,$2.68,,,
22/01/2008,3001,F,M,1,$30K - $50K,Salem,USA,Food,Produce,Vegetables,4,$44.78,,,
22/01/2008,7823,F,M,5,$10K - $30K,Los Angeles,USA,Food,Deli,Side Dishes,6,$8.06,,,
22/01/2008,9129,F,S,0,$110K - $130K,Seattle,USA,Food,Baking Goods,Jams and Jellies,6,$2.95,,,
22/01/2008,8060,M,S,4,$50K - $70K,Walla Walla,USA,Food,Produce,Vegetables,1,$1.65,,,
22/01/2008,2361,M,S,3,$10K - $30K,San Diego,USA,Food,Deli,Meat,3,$4.43,,,
23/01/2008,4016,F,M,5,$70K - $90K,Los Angeles,USA,Food,Produce,Vegetables,5,$5.24,,,
23/01/2008,1313,F,M,1,$30K - $50K,Seattle,USA,Food,Frozen Foods,Frozen Desserts,4,$8.30,,,
23/01/2008,304,M,M,1,$90K - $110K,Salem,USA,Non-Consumable,Household,Cleaning Supplies,4,$19.05,,,
23/01/2008,2143,M,S,3,$10K - $30K,Tacoma,USA,Food,Baking Goods,Baking Goods,2,$7.45,,,
23/01/2008,878,F,S,0,$10K - $30K,Bremerton,USA,Non-Consumable,Household,Plastic Products,4,$15.22,,,
23/01/2008,2313,F,M,3,$10K - $30K,San Diego,USA,Food,Canned Foods,Canned Sardines,4,$10.80,,,
23/01/2008,363,F,M,4,$130K - $150K,Los Angeles,USA,Food,Deli,Meat,6,$30.91,,,
23/01/2008,3412,M,S,5,$30K - $50K,Portland,USA,Non-Consumable,Health and Hygiene,Decongestants,3,$16.79,,,
23/01/2008,5016,M,M,5,$70K - $90K,Los Angeles,USA,Food,Deli,Meat,3,$13.86,,,
23/01/2008,4727,F,M,4,$150K +,Spokane,USA,Food,Snack Foods,Snack Foods,5,$6.60,,,
23/01/2008,3776,F,S,4,$30K - $50K,Salem,USA,Non-Consumable,Household,Electrical,4,$7.49,,,
23/01/2008,9826,M,S,4,$70K - $90K,Salem,USA,Food,Produce,Vegetables,4,$10.88,,,
23/01/2008,3773,F,S,1,$110K - $130K,Tacoma,USA,Food,Produce,Vegetables,5,$9.01,,,
23/01/2008,9263,F,M,2,$30K - $50K,Spokane,USA,Food,Canned Foods,Canned Tuna,3,$8.63,,,
23/01/2008,9306,M,M,4,$50K - $70K,San Diego,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$7.81,,,
23/01/2008,7149,F,S,4,$10K - $30K,Salem,USA,Food,Produce,Fruit,4,$2.63,,,
24/01/2008,2158,M,M,3,$10K - $30K,Portland,USA,Food,Produce,Vegetables,4,$13.68,,,
24/01/2008,213,F,S,3,$30K - $50K,Los Angeles,USA,Non-Consumable,Household,Kitchen Products,3,$25.29,,,
24/01/2008,3446,F,S,4,$30K - $50K,Walla Walla,USA,Food,Snack Foods,Snack Foods,3,$13.06,,,
24/01/2008,8606,F,M,2,$110K - $130K,Seattle,USA,Food,Canned Foods,Canned Sardines,4,$15.12,,,
24/01/2008,976,F,M,5,$70K - $90K,Spokane,USA,Non-Consumable,Household,Paper Products,3,$10.71,,,
24/01/2008,5734,M,M,3,$30K - $50K,Salem,USA,Food,Canned Foods,Vegetables,3,$6.40,,,
24/01/2008,9264,F,M,4,$90K - $110K,San Diego,USA,Drink,Beverages,Carbonated Beverages,4,$26.68,,,
24/01/2008,4670,M,S,1,$30K - $50K,Tacoma,USA,Food,Baking Goods,Baking Goods,3,$11.47,,,
25/01/2008,8342,F,M,2,$70K - $90K,San Diego,USA,Food,Baking Goods,Baking Goods,4,$8.12,,,
25/01/2008,4457,M,S,2,$30K - $50K,Walla Walla,USA,Food,Snack Foods,Snack Foods,2,$5.34,,,
25/01/2008,1741,M,M,4,$70K - $90K,Portland,USA,Food,Dairy,Dairy,3,$4.75,,,
25/01/2008,9014,F,S,1,$50K - $70K,Salem,USA,Food,Canned Foods,Canned Soup,4,$4.22,,,
25/01/2008,6866,F,M,5,$10K - $30K,Tacoma,USA,Food,Canned Products,Fruit,5,$9.13,,,
26/01/2008,2878,F,M,4,$30K - $50K,Bremerton,USA,Food,Deli,Meat,3,$17.22,,,
26/01/2008,9551,M,M,2,$10K - $30K,San Diego,USA,Drink,Beverages,Carbonated Beverages,5,$2.31,,,
26/01/2008,3799,F,S,2,$30K - $50K,Salem,USA,Non-Consumable,Carousel,Specialty,6,$23.92,,,
26/01/2008,9469,F,S,1,$10K - $30K,Tacoma,USA,Non-Consumable,Household,Kitchen Products,5,$11.35,,,
26/01/2008,4813,F,M,1,$70K - $90K,Los Angeles,USA,Food,Eggs,Eggs,3,$26.50,,,
26/01/2008,5358,F,M,1,$150K +,Bremerton,USA,Food,Frozen Foods,Vegetables,5,$7.04,,,
26/01/2008,6866,F,M,5,$10K - $30K,Tacoma,USA,Food,Frozen Foods,Frozen Desserts,3,$7.76,,,
26/01/2008,1387,F,M,1,$70K - $90K,Portland,USA,Food,Baking Goods,Baking Goods,2,$5.56,,,
26/01/2008,7617,F,M,3,$10K - $30K,Portland,USA,Drink,Alcoholic Beverages,Beer and Wine,4,$10.72,,,
26/01/2008,1965,F,M,3,$30K - $50K,Tacoma,USA,Food,Dairy,Dairy,5,$17.16,,,
27/01/2008,2878,F,M,4,$30K - $50K,Bremerton,USA,Food,Canned Foods,Canned Soup,4,$6.23,,,
27/01/2008,5476,M,M,4,$50K - $70K,Salem,USA,Food,Frozen Foods,Vegetables,5,$19.52,,,
27/01/2008,2664,F,S,3,$50K - $70K,Tacoma,USA,Food,Baking Goods,Baking Goods,2,$2.75,,,
27/01/2008,10161,M,S,0,$30K - $50K,Beverly Hills,USA,Food,Deli,Meat,5,$3.04,,,
27/01/2008,10240,F,S,3,$130K - $150K,Bremerton,USA,Food,Baking Goods,Baking Goods,3,$8.66,,,
